Codes NACRES;Montant
AA01;6,00
AA11;712.13
AA21;500.64
AA22;480,00
AA42;235.48
AA44;0,00
AA61;4049.04
AA63;34112.03
AA64;11605.36
AB01;5025.14
AB02;978,00
AB11;229.32
AC11;1909.66
AC31;1502.89
BB02;39.61
BB03;7.41
BB31;1143.67
BD03;21.8
BD11;205,00
BD12;33.18
BD15;115.25
BD24;167.04
BE02;31.8
BE05;366.41
BE07;0,00
BE11;634.55
BE17;1927,00
BG02;90,00
CA11;6640,00
CA34;2200,00
CB25;17000.63
CE03;203.45
DA17;18.5
DB11;8184.86
DC01;30388.08
EA13;4.03
EA24;6.99
EC05;1140,00
EC15;4000,00
EE02;22046.4
FA01;10,00
FB02;170,00
FC01;564.01
FC02;1245.87
FC12;265.07
FC15;643.5
GA51;1153.78
GA55;375.89
GB11;1683,00
GB12;1793.32
HA01;1288.79
HA02;233.75
HA05;33.67
HA11;1405.54
HA12;2434.66
HA21;9998,00
HB01;1662,00
IA01;13581.29
IA11;23413.91
IA12;1027.84
IA21;446.6
IA22;899.39
IA23;3682.34
IA24;4231.55
IA25;1071.12
IB11;387.72
IB31;699,00
IB32;7682.84
IB34;5826.85
IC02;296.27
IC11;90.1
IE11;324.2
IE21;14.4
IE36;4119.39
JA01;399.34
JA14;5874.52
JB11;5136.48
KA01;111.41
KD21;0,00
KE12;725.02
LB03;134.5
LB61;1995,00
LD11;9971.4
MA01;1330.95
MA02;886.35
MA14;6353.2
MA41;926.67
MA46;13085.94
MC02;571.82
NA05;1744,00
NA13;416.85
NA21;3097.07
NA22;2164.51
NA23;239.5
NA25;292.64
NA26;2284.15
NA28;7016.31
NA31;1292.6
NA32;3176.23
NA41;13885.45
NA43;223.39
NA44;3040,00
NA45;1986.2
NA47;864.9
NA51;3603.26
NA52;1682,00
NA54;754.92
NA55;66.6
NA71;15533.47
NA75;493.28
NA76;711,00
NA77;2283.8
NA79;6884.51
NA81;1300,00
NA83;753,00
NA84;524.8
NB01;356.07
NB02;2022.72
NB03;693.71
NB04;3422.52
NB05;1634.25
NB11;2692.96
NB12;80.11
NB13;8332.79
NB14;493.42
NB15;610.38
NB16;1716,00
NB17;1660.28
NB23;180.25
NB24;13358.12
NB35;842.23
NB43;1958.68
NB44;1025.81
NB51;1013.3
NB61;6241.77
NB71;301.52
NB72;282,00
NB73;401,00
NB76;2997.88
NB77;15933.19
NB78;488.15
NB79;1545.3
NB81;395,00
NB82;1768,00
NB87;101.72
NC01;1491,00
NC11;13490,00
NC57;8400,00
ND03;755.71
ND11;394.15
ND12;2247.25
ND14;2674.25
NE22;188,00
NE25;71.7
OA01;994.07
OA05;1018.16
OA11;1610.2
OA12;8380,00
OA21;19854.64
OA22;10444.09
OA31;11314,00
OA33;197.18
OA38;181.98
OA41;149.21
PB11;3038.94
PB21;9672.5
PB34;451.67
PB36;258.4
PB44;1581.9
PC21;682.5
PC22;299,00
QA01;12.7
QB01;3500.22
QB02;322.09
QB04;145.4
RA01;3368.42
RA03;430.58
RA05;221.46
RA14;3644.81
RA15;574.13
RA16;3.38
RA18;95.24
RA21;345,00
RA22;355.74
RA23;2477.34
RA31;681.99
RA32;243.1
RB02;29.52
RD02;23.58
RD03;3.25
RD23;3505,00
SE13;42.08
SE61;873.04
TA01;12455.34
TA02;555.83
TA04;40.95
TA22;1678.81
TA31;9550,00
TB01;493.76
TB02;558.9
TB03;1500.75
TB04;234.24
TB11;8125.56
TB12;6.68
TB13;33.46
UC13;599.62
UC14;26765.32
UD23;0,00
WA04;2165.3
WA12;178,00
XC01;13795.25
XC02;0.23
XC17;1197.73
XC27;750,00
XD34;955,00
XD45;265,00
XD61;2283.5
XF01;18954.78
XF02;0,00
XF03;827.5
XF04;776,00
